,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
10623,24,63508,MORTGAGE,8.0,HOMEIMPROVEMENT,B,2500,11.14,1,0.04,N,4
23403,29,99000,RENT,3.0,HOMEIMPROVEMENT,C,8000,12.99,0,0.08,Y,8
11679,26,75000,RENT,4.0,EDUCATION,A,10000,7.49,0,0.13,N,4
9950,23,65000,MORTGAGE,4.0,EDUCATION,D,13600,15.62,0,0.21,Y,2
2793,21,34500,MORTGAGE,3.0,EDUCATION,A,6400,7.51,0,0.19,N,2
2995,23,31200,RENT,0.0,EDUCATION,C,3200,13.49,0,0.1,Y,4
31105,38,85900,RENT,6.0,DEBTCONSOLIDATION,B,10000,12.53,0,0.12,N,13
7691,23,28000,RENT,4.0,EDUCATION,B,7000,10.62,0,0.25,N,2
5140,22,60000,RENT,0.0,DEBTCONSOLIDATION,C,9000,,0,0.15,N,2
22762,32,155000,RENT,3.0,PERSONAL,C,7500,11.59,0,0.05,Y,5
28574,31,82000,MORTGAGE,15.0,DEBTCONSOLIDATION,A,9000,5.42,0,0.11,N,10
27454,31,140000,MORTGAGE,15.0,DEBTCONSOLIDATION,A,12000,7.88,0,0.09,N,9
9047,23,57750,RENT,3.0,EDUCATION,A,8000,7.49,0,0.14,N,3
5624,26,39500,MORTGAGE,6.0,MEDICAL,D,15250,15.05,1,0.39,N,4
29628,47,52000,RENT,5.0,EDUCATION,B,12000,11.99,0,0.23,N,14
21857,27,69996,RENT,1.0,PERSONAL,B,6000,11.86,0,0.09,N,6
15860,23,200000,MORTGAGE,0.0,PERSONAL,A,5000,7.43,0,0.03,N,4
16159,24,35000,RENT,8.0,PERSONAL,A,5000,7.88,0,0.14,N,3
24082,32,38400,RENT,1.0,VENTURE,B,10000,10.39,0,0.26,N,10
17984,27,49000,RENT,11.0,DEBTCONSOLIDATION,B,25000,11.36,1,0.51,N,5
24414,33,50800,RENT,16.0,EDUCATION,E,10000,16.4,0,0.2,Y,7
24873,28,71652,MORTGAGE,11.0,PERSONAL,G,25000,20.03,1,0.35,N,9
5186,26,80000,RENT,0.0,EDUCATION,C,9000,10.91,0,0.11,Y,3
10576,23,35000,RENT,1.0,EDUCATION,A,10000,5.79,0,0.29,N,2
940,23,120000,RENT,7.0,PERSONAL,A,18400,8.9,0,0.15,N,2
1731,24,28800,MORTGAGE,5.0,DEBTCONSOLIDATION,C,5500,,0,0.19,Y,3
28563,32,65000,OWN,3.0,EDUCATION,C,12000,13.35,0,0.18,N,10
27375,34,135000,MORTGAGE,7.0,EDUCATION,C,15000,13.47,0,0.11,Y,7
26530,28,105000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,24000,,0,0.23,N,6
13310,24,40800,RENT,0.0,VENTURE,A,2800,6.99,0,0.07,N,4
16151,24,23000,RENT,1.0,MEDICAL,C,5000,,0,0.22,N,4
29997,39,43000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,6250,7.68,0,0.15,N,14
31811,38,150000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,7500,10.0,0,0.05,N,13
7905,21,47000,RENT,5.0,VENTURE,D,7000,14.96,0,0.15,Y,3
26691,30,46080,RENT,0.0,PERSONAL,A,2000,6.99,0,0.04,N,8
31873,36,185000,MORTGAGE,20.0,VENTURE,B,6000,10.0,0,0.03,N,15
20398,30,51372,RENT,,HOMEIMPROVEMENT,A,4500,6.39,0,0.09,N,7
14665,22,110196,MORTGAGE,6.0,MEDICAL,B,25000,11.49,0,0.23,N,3
4172,24,40000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,2500,9.99,0,0.06,N,2
8236,23,56160,MORTGAGE,2.0,PERSONAL,B,3050,10.59,0,0.05,N,2
21670,31,50000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,4800,6.03,0,0.1,N,5
26924,30,119700,MORTGAGE,2.0,HOMEIMPROVEMENT,A,9500,8.94,0,0.08,N,10
15433,24,135000,MORTGAGE,3.0,VENTURE,B,21000,10.38,0,0.16,N,4
31250,39,24000,RENT,0.0,HOMEIMPROVEMENT,D,3000,14.12,1,0.13,N,11
8493,26,58000,MORTGAGE,10.0,VENTURE,B,5000,10.62,0,0.09,N,2
14722,23,112976,MORTGAGE,2.0,MEDICAL,A,20000,6.91,0,0.18,N,2
23540,32,40320,RENT,4.0,MEDICAL,C,8700,12.61,0,0.22,Y,5
14777,25,38400,RENT,3.0,DEBTCONSOLIDATION,B,15000,10.65,1,0.39,N,2
23482,30,63000,MORTGAGE,2.0,EDUCATION,B,8000,10.25,0,0.13,N,6
7984,22,20800,RENT,1.0,DEBTCONSOLIDATION,A,7200,6.91,1,0.35,N,4
23197,30,60000,MORTGAGE,6.0,EDUCATION,D,15000,15.31,0,0.25,Y,9
23648,30,46000,RENT,5.0,VENTURE,A,9000,7.29,0,0.2,N,5
16129,23,58000,OTHER,0.0,VENTURE,B,16000,12.21,0,0.28,N,4
26259,30,100000,MORTGAGE,2.0,EDUCATION,D,10000,16.77,0,0.1,Y,10
13336,26,52582,RENT,3.0,VENTURE,C,2800,13.47,0,0.05,N,4
25621,32,90000,RENT,2.0,MEDICAL,B,12000,10.62,0,0.13,N,5
847,24,22800,OWN,3.0,HOMEIMPROVEMENT,B,4750,11.36,0,0.21,N,3
20284,28,34000,MORTGAGE,12.0,EDUCATION,D,10000,16.77,1,0.29,Y,7
26765,32,112000,MORTGAGE,4.0,EDUCATION,B,14000,9.63,0,0.13,N,9
8975,21,50400,RENT,4.0,VENTURE,D,8000,15.62,0,0.16,Y,2
24455,27,56525,MORTGAGE,4.0,MEDICAL,D,12000,15.95,1,0.18,Y,7
14619,25,110000,MORTGAGE,9.0,EDUCATION,A,5000,7.14,0,0.05,N,4
9991,21,43000,RENT,2.0,MEDICAL,A,9200,8.94,0,0.21,N,2
15836,24,193000,MORTGAGE,8.0,PERSONAL,C,10000,13.06,0,0.05,Y,4
6558,25,48000,RENT,2.0,MEDICAL,C,6000,12.99,0,0.13,Y,3
5869,25,48000,RENT,3.0,MEDICAL,A,5500,7.49,0,0.11,N,4
31892,39,250000,MORTGAGE,21.0,VENTURE,C,4000,15.23,0,0.02,N,13
29931,36,166000,RENT,4.0,MEDICAL,A,10000,7.88,0,0.06,N,17
11439,22,61500,RENT,3.0,MEDICAL,C,10000,14.22,0,0.16,N,2
30884,45,35000,RENT,13.0,DEBTCONSOLIDATION,A,10000,8.49,0,0.29,N,11
8925,24,48000,RENT,,DEBTCONSOLIDATION,A,8000,7.51,0,0.17,N,4
7148,23,67752,RENT,3.0,EDUCATION,A,7000,6.62,0,0.1,N,4
20458,33,34000,MORTGAGE,8.0,HOMEIMPROVEMENT,D,6000,14.11,1,0.18,N,9
30970,39,48000,RENT,0.0,VENTURE,C,10000,13.22,0,0.21,N,16
25974,35,46000,RENT,2.0,PERSONAL,C,12800,13.48,0,0.28,Y,8
24981,28,22188,RENT,9.0,EDUCATION,A,11500,8.49,1,0.52,N,5
13844,22,96384,MORTGAGE,6.0,VENTURE,B,18000,10.25,0,0.19,N,3
7767,24,54996,MORTGAGE,8.0,VENTURE,A,5500,5.99,0,0.1,N,4
12195,22,30000,RENT,1.0,EDUCATION,B,12000,10.99,1,0.4,N,3
30270,36,50000,MORTGAGE,13.0,PERSONAL,C,12250,12.73,0,0.24,N,12
3806,25,30000,RENT,6.0,EDUCATION,B,4000,9.76,0,0.13,N,3
7011,22,46200,RENT,5.0,EDUCATION,B,6200,12.42,0,0.13,N,3
31776,36,140000,OWN,13.0,VENTURE,B,20800,11.48,0,0.15,N,11
13013,23,75000,MORTGAGE,7.0,PERSONAL,A,8000,7.49,1,0.11,N,4
1020,26,59000,RENT,2.0,VENTURE,E,18000,16.0,1,0.31,N,4
25195,31,36000,RENT,4.0,EDUCATION,B,12000,10.36,1,0.33,N,8
30447,46,55000,MORTGAGE,3.0,VENTURE,B,15000,10.37,0,0.27,N,11
28408,27,48000,RENT,2.0,HOMEIMPROVEMENT,A,4000,6.03,1,0.08,N,6
21650,34,36000,RENT,0.0,VENTURE,D,6000,,1,0.17,N,10
11855,25,76800,MORTGAGE,8.0,EDUCATION,A,6500,5.79,0,0.08,N,4
16505,25,115000,MORTGAGE,9.0,VENTURE,C,19000,13.49,0,0.17,Y,4
29132,39,403750,MORTGAGE,10.0,MEDICAL,B,35000,,1,0.07,N,11
24196,29,70000,MORTGAGE,1.0,EDUCATION,B,20000,9.88,0,0.29,N,10
12261,24,34132,RENT,0.0,EDUCATION,B,12000,10.62,1,0.35,N,3
1353,23,26000,MORTGAGE,2.0,VENTURE,E,7000,14.93,0,0.27,Y,4
335,24,168288,RENT,5.0,HOMEIMPROVEMENT,B,1800,11.12,0,0.01,N,3
13574,23,94000,MORTGAGE,1.0,PERSONAL,A,13000,6.03,0,0.14,N,4
18437,28,22000,OWN,5.0,EDUCATION,A,8000,6.99,0,0.36,N,5
20664,28,30000,RENT,3.0,MEDICAL,B,5000,9.88,0,0.17,N,8
2137,24,30000,MORTGAGE,2.0,EDUCATION,A,1000,8.0,0,0.03,N,2
9858,25,40000,RENT,1.0,PERSONAL,C,9000,12.53,0,0.23,N,2
10162,25,31000,RENT,5.0,DEBTCONSOLIDATION,D,9600,16.77,1,0.31,N,3
19227,33,51200,RENT,1.0,VENTURE,E,13075,16.7,1,0.26,Y,8
13716,24,95000,MORTGAGE,4.0,PERSONAL,B,25000,10.08,0,0.26,N,4
20963,31,100000,RENT,3.0,EDUCATION,B,8800,10.0,0,0.09,N,8
12927,26,85200,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000,6.03,0,0.09,N,4
26083,31,144000,RENT,0.0,EDUCATION,G,13000,21.21,1,0.09,N,6
28289,28,112200,RENT,11.0,DEBTCONSOLIDATION,C,7000,11.66,0,0.06,Y,7
14609,24,110000,MORTGAGE,8.0,PERSONAL,A,7500,6.17,0,0.07,N,2
22380,29,55000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,5000,,0,0.09,N,8
30658,37,60000,OWN,15.0,HOMEIMPROVEMENT,A,5000,9.32,0,0.08,N,12
16985,24,72444,MORTGAGE,7.0,EDUCATION,B,25000,10.74,0,0.35,N,3
7522,23,25000,RENT,0.0,EDUCATION,C,6400,12.84,0,0.26,N,3
24564,28,74600,OWN,12.0,PERSONAL,C,9500,10.78,0,0.13,N,9
15630,25,150000,MORTGAGE,9.0,PERSONAL,B,20000,8.88,0,0.13,N,4
19071,33,30000,MORTGAGE,17.0,HOMEIMPROVEMENT,A,10000,5.79,0,0.33,N,6
17908,28,12000,OWN,,EDUCATION,B,3000,9.62,1,0.25,N,5
372,23,160000,MORTGAGE,5.0,PERSONAL,A,35000,7.66,0,0.22,N,2
14659,25,110004,MORTGAGE,9.0,HOMEIMPROVEMENT,A,15000,7.66,0,0.14,N,4
13757,23,96000,MORTGAGE,5.0,PERSONAL,A,1500,6.62,0,0.02,N,3
25215,27,81000,MORTGAGE,2.0,MEDICAL,A,5500,8.0,0,0.07,N,8
17210,26,127992,MORTGAGE,10.0,PERSONAL,C,26000,13.99,0,0.2,N,2
26922,29,119500,MORTGAGE,6.0,HOMEIMPROVEMENT,C,6800,13.16,0,0.06,Y,10
21692,27,50000,OWN,,PERSONAL,B,5125,9.99,0,0.1,N,10
825,22,74800,RENT,3.0,MEDICAL,D,20000,14.96,1,0.23,Y,4
8195,22,22596,RENT,4.0,MEDICAL,B,7500,9.76,1,0.33,N,4
10038,23,65000,MORTGAGE,7.0,EDUCATION,A,5500,7.88,0,0.08,N,3
16429,23,28000,RENT,0.0,VENTURE,C,5000,11.78,0,0.18,N,3
18389,27,72000,RENT,6.0,VENTURE,A,20000,8.9,0,0.28,N,5
16276,24,34000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,10000,12.18,0,0.29,N,4
25936,30,93000,MORTGAGE,11.0,HOMEIMPROVEMENT,C,18000,15.23,0,0.19,N,9
1200,25,57504,RENT,2.0,HOMEIMPROVEMENT,A,16500,9.32,1,0.29,N,3
10734,22,40000,RENT,2.0,EDUCATION,B,10000,,0,0.25,N,4
2148,22,30000,MORTGAGE,6.0,VENTURE,A,6950,9.32,0,0.23,N,4
19859,28,45000,RENT,6.0,MEDICAL,B,11000,11.99,0,0.24,N,7
8629,22,59600,MORTGAGE,6.0,PERSONAL,A,6000,5.42,0,0.1,N,3
8676,22,30996,RENT,2.0,DEBTCONSOLIDATION,B,8000,11.49,0,0.26,N,2
2593,24,36000,RENT,0.0,EDUCATION,C,3000,13.92,0,0.08,Y,3
15959,25,5000,RENT,0.0,VENTURE,B,1000,9.64,1,0.2,N,4
24646,28,66000,RENT,9.0,VENTURE,A,10000,7.9,0,0.15,N,9
24478,32,73000,MORTGAGE,5.0,HOMEIMPROVEMENT,D,6000,15.62,0,0.08,N,8
24718,35,75000,OWN,2.0,MEDICAL,B,25000,10.99,0,0.33,N,7
17872,29,338000,RENT,3.0,HOMEIMPROVEMENT,F,24000,17.8,1,0.07,N,8
18257,29,110000,RENT,4.0,HOMEIMPROVEMENT,E,24000,18.39,0,0.22,Y,8
14785,23,115000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,5600,5.42,0,0.05,N,3
16297,25,90000,RENT,9.0,EDUCATION,B,10000,12.42,0,0.11,N,4
12294,23,80000,MORTGAGE,1.0,PERSONAL,C,11000,12.73,0,0.14,N,3
11538,22,75000,MORTGAGE,4.0,MEDICAL,A,9000,6.99,0,0.12,N,2
10319,24,66766,MORTGAGE,,HOMEIMPROVEMENT,A,9000,6.99,0,0.13,N,2
1947,26,30000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,2000,11.99,1,0.07,N,2
12525,25,82000,MORTGAGE,2.0,HOMEIMPROVEMENT,E,10000,14.93,0,0.12,N,3
3484,26,68000,RENT,4.0,EDUCATION,B,10700,12.42,0,0.16,N,4
379,24,16800,MORTGAGE,,DEBTCONSOLIDATION,A,3900,,1,0.23,N,3
24969,27,79000,MORTGAGE,4.0,PERSONAL,A,9000,6.76,0,0.11,N,10
29729,44,61000,RENT,2.0,DEBTCONSOLIDATION,D,11000,16.02,1,0.18,Y,15
28293,28,59160,MORTGAGE,2.0,PERSONAL,B,23500,,0,0.4,N,6
19791,32,66504,RENT,11.0,HOMEIMPROVEMENT,B,3500,11.99,0,0.05,N,8
24097,35,70000,MORTGAGE,0.0,MEDICAL,B,12000,11.71,0,0.17,N,10
14414,25,105897,MORTGAGE,9.0,MEDICAL,B,25000,11.36,0,0.24,N,3
17438,26,93492,RENT,0.0,PERSONAL,B,20000,9.45,0,0.21,N,2
11590,26,58650,MORTGAGE,5.0,MEDICAL,A,14000,6.17,1,0.2,N,4
23855,29,66352,MORTGAGE,5.0,HOMEIMPROVEMENT,A,7000,7.88,0,0.11,N,5
27466,32,140000,MORTGAGE,16.0,VENTURE,B,25000,10.08,0,0.18,N,7
18002,31,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,24000,8.9,0,0.12,N,9
5950,21,47760,MORTGAGE,2.0,PERSONAL,A,15000,6.03,0,0.31,N,2
16495,22,90000,MORTGAGE,6.0,MEDICAL,B,6400,9.88,0,0.07,N,3
7480,24,53000,MORTGAGE,1.0,EDUCATION,D,6400,13.67,0,0.12,N,2
6360,24,49000,MORTGAGE,2.0,VENTURE,E,20000,15.57,0,0.41,Y,4
2562,26,31131,RENT,0.0,MEDICAL,D,3000,13.36,1,0.1,Y,4
18572,35,66000,RENT,0.0,HOMEIMPROVEMENT,B,18000,9.99,0,0.27,N,8
21284,31,46500,MORTGAGE,2.0,DEBTCONSOLIDATION,A,6250,5.79,0,0.13,N,10
25482,27,36000,RENT,4.0,HOMEIMPROVEMENT,D,3000,15.62,1,0.08,N,7
7134,22,51900,MORTGAGE,5.0,VENTURE,B,14100,11.49,0,0.27,N,2
11482,24,75000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,15000,6.03,0,0.2,N,2
17930,29,250000,MORTGAGE,12.0,VENTURE,A,8000,7.51,0,0.03,N,10
29143,47,305000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,10000,13.43,0,0.03,Y,12
426,23,74000,RENT,7.0,DEBTCONSOLIDATION,B,24000,10.99,1,0.32,N,2
10841,22,37200,RENT,6.0,PERSONAL,B,10000,,1,0.27,N,2
18073,27,185232,MORTGAGE,10.0,PERSONAL,A,35000,,0,0.19,N,8
7751,26,54828,MORTGAGE,10.0,EDUCATION,E,5000,16.82,0,0.09,N,4
26641,34,109200,MORTGAGE,18.0,VENTURE,C,6000,12.23,0,0.05,Y,9
11323,24,56500,RENT,1.0,HOMEIMPROVEMENT,B,10000,,0,0.18,N,4
5428,25,55000,RENT,3.0,DEBTCONSOLIDATION,C,5000,,0,0.09,Y,4
9413,25,62000,MORTGAGE,7.0,VENTURE,A,12000,5.42,0,0.19,N,2
3797,23,38400,MORTGAGE,0.0,PERSONAL,B,5000,9.25,0,0.13,N,3
30227,37,45000,RENT,0.0,EDUCATION,C,6000,12.61,0,0.13,N,17
19984,29,32400,RENT,5.0,VENTURE,A,10275,6.62,1,0.32,N,8
28943,28,108000,MORTGAGE,4.0,VENTURE,C,5000,12.87,0,0.05,N,8
20061,28,30000,RENT,4.0,VENTURE,B,3900,11.99,0,0.13,N,8
10936,26,48000,RENT,10.0,PERSONAL,B,4225,9.83,0,0.09,N,2
7146,25,45996,MORTGAGE,9.0,HOMEIMPROVEMENT,C,11000,12.68,1,0.24,N,2
3964,25,50000,RENT,2.0,DEBTCONSOLIDATION,B,4000,10.37,0,0.08,N,2
24065,32,37965,RENT,3.0,PERSONAL,A,10000,9.63,0,0.26,N,6
14073,24,100000,MORTGAGE,9.0,VENTURE,A,12800,5.79,0,0.13,N,4
29971,50,36000,RENT,0.0,VENTURE,B,5000,10.37,0,0.14,N,16
3142,21,30000,RENT,5.0,PERSONAL,A,3500,7.9,0,0.12,N,2
26571,30,106000,MORTGAGE,11.0,VENTURE,F,10000,,0,0.09,N,9
7701,23,30000,RENT,0.0,VENTURE,B,7000,12.69,0,0.23,N,2
20517,31,54000,RENT,1.0,MEDICAL,C,4800,12.99,0,0.09,Y,10
32188,49,64600,MORTGAGE,4.0,MEDICAL,D,10000,16.49,1,0.13,N,12
25144,28,38500,RENT,2.0,PERSONAL,B,12000,10.75,1,0.31,N,5
28714,34,35000,RENT,9.0,EDUCATION,A,8000,,0,0.23,N,10
32215,39,24000,RENT,1.0,DEBTCONSOLIDATION,A,8500,7.49,1,0.35,N,12
4690,22,42000,MORTGAGE,6.0,EDUCATION,C,6000,12.99,0,0.14,Y,2
25377,28,84000,MORTGAGE,1.0,PERSONAL,A,8400,7.51,0,0.1,N,10
11610,23,75000,OWN,8.0,EDUCATION,A,8000,6.17,0,0.11,N,2
24185,28,70000,MORTGAGE,7.0,MEDICAL,A,4000,6.39,0,0.06,N,8
2259,23,30000,RENT,4.0,DEBTCONSOLIDATION,C,13000,13.57,1,0.43,Y,2
21234,30,46000,OWN,10.0,HOMEIMPROVEMENT,C,11200,14.27,0,0.24,Y,10
8064,22,50000,RENT,6.0,DEBTCONSOLIDATION,B,7200,,0,0.14,N,4
17503,25,27800,OWN,,EDUCATION,A,14125,6.99,0,0.51,N,2
19543,28,51200,RENT,12.0,DEBTCONSOLIDATION,B,12000,,1,0.23,N,7
21865,33,44000,MORTGAGE,6.0,DEBTCONSOLIDATION,D,4500,14.74,1,0.1,N,10
4317,21,31970,RENT,2.0,VENTURE,A,4650,9.32,0,0.15,N,2
1843,26,100000,RENT,5.0,VENTURE,C,15000,13.49,0,0.15,Y,4
7182,23,80000,RENT,1.0,VENTURE,A,7000,7.14,0,0.09,N,2
1576,22,27996,MORTGAGE,4.0,MEDICAL,B,5500,10.38,0,0.2,N,2
16862,26,92040,MORTGAGE,6.0,VENTURE,A,10000,,0,0.11,N,3
11213,24,51160,RENT,5.0,DEBTCONSOLIDATION,B,10000,10.75,0,0.2,N,3
18473,31,103000,RENT,2.0,VENTURE,F,20000,18.17,1,0.19,N,5
17858,31,400000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,28000,7.49,0,0.07,N,6
14859,26,117000,MORTGAGE,4.0,MEDICAL,A,14400,,0,0.12,N,3
10688,26,70000,MORTGAGE,,PERSONAL,A,5000,,0,0.07,N,4
14186,26,100800,MORTGAGE,7.0,EDUCATION,B,8000,11.99,0,0.08,N,3
17016,24,99000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,12000,6.03,0,0.12,N,4
26687,28,110000,MORTGAGE,12.0,VENTURE,B,15000,10.0,0,0.14,N,10
2403,23,61000,RENT,3.0,DEBTCONSOLIDATION,A,2500,7.49,0,0.04,N,3
19276,32,31776,OWN,4.0,MEDICAL,C,3400,13.16,0,0.11,N,8
17523,26,54000,MORTGAGE,10.0,MEDICAL,A,8500,5.42,1,0.16,N,3
12861,23,85000,MORTGAGE,5.0,EDUCATION,A,8000,7.14,0,0.09,N,2
9621,23,30000,RENT,1.0,EDUCATION,A,8400,,1,0.28,N,3
10016,24,65000,MORTGAGE,5.0,MEDICAL,B,2000,9.62,0,0.03,N,3
18167,33,140004,RENT,7.0,EDUCATION,D,25000,15.58,0,0.18,N,10
21254,27,20160,RENT,4.0,DEBTCONSOLIDATION,A,5300,,0,0.26,N,6
16847,25,72000,RENT,2.0,MEDICAL,B,10000,10.37,0,0.14,N,4
18950,27,26400,RENT,1.0,MEDICAL,C,2000,13.61,0,0.08,N,10
3504,22,75000,RENT,3.0,EDUCATION,B,10600,10.99,0,0.14,N,3
6883,24,50000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,5500,,0,0.11,N,3
13758,26,96000,MORTGAGE,10.0,HOMEIMPROVEMENT,E,24000,19.42,0,0.25,N,4
7013,26,51000,MORTGAGE,10.0,MEDICAL,A,15825,6.99,0,0.31,N,3
3590,23,65000,RENT,2.0,DEBTCONSOLIDATION,B,3600,11.49,0,0.06,N,2
10620,25,36000,RENT,0.0,PERSONAL,B,10000,11.11,0,0.28,N,2
2744,22,34000,MORTGAGE,5.0,MEDICAL,B,11500,10.99,0,0.34,N,2
